date_range,source_city_name,brand_name,top_slug,mid_slug,leaf_slug,source_sku_id,sku_description,sku_weight,total_quantity,total_mrp,total_sales
20241001 - 20241031,Coimbatore,Jaldhara,gourmet-world-food,drinks-beverages,gourmet-tea-tea-Mixs,49244038,Jaldhara instant-drink-mix-nimbu-shikanji-low-sugar 180 g  (15 Sachet x 12 g each),180 g,1,375,299
20241001 - 20241031,Noida,Jaldhara,snacks-branded-foods,chocolates-candies,gift-boxes,44368015,Jaldhara summer-fiesta-gift-box-nimbu-shikanji-kala-namak 200 g  (2x100 g),200 g,1,649,599
20241001 - 20241031,Hyderabad,Jaldhara,gourmet-world-food,drinks-beverages,gourmet-tea-tea-Mixs,43792419,Jaldhara kewra-sharbat-concentrate-herbal-drink 25 pcs,150 g,15,3135,2656.55
20241001 - 20241031,Bangalore,Jaldhara,gourmet-world-food,drinks-beverages,gourmet-tea-tea-Mixs,46372398,Jaldhara instant-masala-lime-electrolyte-drink-mix 330 g  (Pack of 20),330 g,14,5250,2506
20241001 - 20241031,Mumbai,Jaldhara,beverages,energy-soft-drinks,icetea-non-aerated-drink,40187040,Jaldhara instant-watermelon-iced-drink-premix 220 g  (22 g x 10),220 g,27,3213,2643.26
20241001 - 20241031,Visakhapatnam,Jaldhara,gourmet-world-food,drinks-beverages,gourmet-tea-tea-Mixs,47448644,Jaldhara rose-sharbat-concentrate 150 g,150 g,3,557,447
20241001 - 20241031,Hyderabad,Jaldhara,beverages,tea,leaf-dust-tea,40929456,Jaldhara kala-namak-lemonade-instant-drink-mix 225 g,225 g,21,6909,6018.75
20241001 - 20241031,Pune,Jaldhara,beverages,tea,leaf-dust-tea,40929456,Jaldhara kala-namak-lemonade-instant-drink-mix 225 g,225 g,1,190,190
20241001 - 20241031,Coimbatore,Jaldhara,gourmet-world-food,drinks-beverages,gourmet-tea-tea-Mixs,43635493,Jaldhara drink-mix-nimbu-shikanji-premium-flavoured 90 g,90 g,1,199,129
20241001 - 20241031,Visakhapatnam,Jaldhara,gourmet-world-food,drinks-beverages,gourmet-tea-tea-Mixs,46372398,Jaldhara instant-masala-lime-electrolyte-drink-mix 330 g  (Pack of 20),330 g,1,375,179
20241001 - 20241031,Bangalore,Jaldhara,snacks-branded-foods,chocolates-candies,gift-boxes,48958500,Jaldhara green-summer-gift-box-set-with-summer-snacks 1 pc,1 pc,1,1599,1499
20241001 - 20241031,Bangalore,Jaldhara,gourmet-world-food,drinks-beverages,gourmet-tea-tea-Mixs,43316133,Jaldhara instant-drink-mix-combo 210 g  (14 g x 15),210 g,35,5915,5194.37
20241001 - 20241031,Bangalore,Jaldhara,gourmet-world-food,drinks-beverages,gourmet-tea-tea-Mixs,42980060,Jaldhara kala-namak-nimbu-shikanji-blend 90 g,90 g,55,10945,7807.4
20241001 - 20241031,Gurgaon,Jaldhara,gourmet-world-food,drinks-beverages,gourmet-tea-tea-Mixs,43792419,Jaldhara kewra-sharbat-concentrate-herbal-drink 25 pcs,150 g,1,209,199
20241001 - 20241031,Chennai,Jaldhara,beverages,tea,leaf-dust-tea,45266919,Jaldhara lemon-electrolyte-instant-drink-mix 330 g  (16.5 g x 20),330 g,1,186,186
20241001 - 20241031,Bangalore Rural,Jaldhara,gourmet-world-food,drinks-beverages,gourmet-tea-tea-Mixs,42980060,Jaldhara kala-namak-nimbu-shikanji-blend 90 g,90 g,1,199,129
20241001 - 20241031,Bangalore,Jaldhara,gourmet-world-food,drinks-beverages,gourmet-tea-tea-Mixs,48004382,Jaldhara instant-orange-electrolyte-drink-mix 330 g  (16.5 g x 20),330 g,50,9450,7892.99
20241001 - 20241031,Hyderabad,Jaldhara,beverages,energy-soft-drinks,icetea-non-aerated-drink,42410255,Jaldhara instant-mango-iced-drink-premix 220 g  (22 g x 10),220 g,16,1904,1395.6
20241001 - 20241031,Mumbai,Jaldhara,gourmet-world-food,drinks-beverages,gourmet-tea-tea-Mixs,43792419,Jaldhara kewra-sharbat-concentrate-herbal-drink 25 pcs,150 g,6,1254,1088.6
20241001 - 20241031,Noida,Jaldhara,snacks-branded-foods,chocolates-candies,gift-boxes,47879658,Jaldhara pink-summer-gift-box-set-with-summer-snacks 1 pc  (Set of 5),5 pcs,2,1998,1798
20241001 - 20241031,Hyderabad Rural,Jaldhara,gourmet-world-food,drinks-beverages,gourmet-tea-tea-Mixs,47448644,Jaldhara rose-sharbat-concentrate 150 g,150 g,1,159,149
20241001 - 20241031,Chennai,Jaldhara,gourmet-world-food,drinks-beverages,gourmet-tea-tea-Mixs,46372398,Jaldhara instant-masala-lime-electrolyte-drink-mix 330 g  (Pack of 20),330 g,2,750,358
20241001 - 20241031,Chennai,Jaldhara,gourmet-world-food,drinks-beverages,gourmet-tea-tea-Mixs,49244038,Jaldhara instant-drink-mix-nimbu-shikanji-low-sugar 180 g  (15 Sachet x 12 g each),180 g,2,750,450
20241001 - 20241031,Gurgaon,Jaldhara,snacks-branded-foods,chocolates-candies,gift-boxes,48958500,Jaldhara green-summer-gift-box-set-with-summer-snacks 1 pc,1 pc,1,1599,1499
20241001 - 20241031,Mumbai,Jaldhara,beverages,tea,leaf-dust-tea,40127838,Jaldhara nimbu-shikanji-instant-drink-mix 250 g,225 g,32,9568,9254.05
20241001 - 20241031,Hyderabad,Jaldhara,beverages,tea,leaf-dust-tea,45266919,Jaldhara lemon-electrolyte-instant-drink-mix 330 g  (16.5 g x 20),330 g,23,4807,4111.39
20241001 - 20241031,Chennai,Jaldhara,gourmet-world-food,drinks-beverages,gourmet-tea-tea-Mixs,42980060,Jaldhara kala-namak-nimbu-shikanji-blend 90 g,90 g,4,796,496.8
20241001 - 20241031,Coimbatore,Jaldhara,gourmet-world-food,drinks-beverages,gourmet-tea-tea-Mixs,47448644,Jaldhara rose-sharbat-concentrate 150 g,150 g,2,318,318
20241001 - 20241031,Hyderabad,Jaldhara,gourmet-world-food,drinks-beverages,gourmet-tea-tea-Mixs,47448644,Jaldhara rose-sharbat-concentrate 150 g,150 g,12,2148,1838.3
20241001 - 20241031,Pune,Jaldhara,beverages,energy-soft-drinks,icetea-non-aerated-drink,40187040,Jaldhara instant-watermelon-iced-drink-premix 220 g  (22 g x 10),220 g,2,212,198
20241001 - 20241031,Gurgaon,Jaldhara,gourmet-world-food,drinks-beverages,gourmet-tea-tea-Mixs,48004382,Jaldhara instant-orange-electrolyte-drink-mix 330 g  (16.5 g x 20),330 g,1,189,179
20241001 - 20241031,Noida,Jaldhara,snacks-branded-foods,chocolates-candies,gift-boxes,48958500,Jaldhara green-summer-gift-box-set-with-summer-snacks 1 pc,1 pc,2,3198,2998
20241001 - 20241031,Mumbai,Jaldhara,beverages,tea,leaf-dust-tea,45266919,Jaldhara lemon-electrolyte-instant-drink-mix 330 g  (16.5 g x 20),330 g,34,7106,6471.42
20241001 - 20241031,Mumbai,Jaldhara,gourmet-world-food,drinks-beverages,gourmet-tea-tea-Mixs,49244038,Jaldhara instant-drink-mix-nimbu-shikanji-low-sugar 180 g  (15 Sachet x 12 g each),180 g,5,1875,1421
20241001 - 20241031,Pune,Jaldhara,beverages,tea,leaf-dust-tea,40127838,Jaldhara nimbu-shikanji-instant-drink-mix 250 g,225 g,1,200,200
20241001 - 20241031,Mumbai,Jaldhara,gourmet-world-food,drinks-beverages,gourmet-tea-tea-Mixs,46372398,Jaldhara instant-masala-lime-electrolyte-drink-mix 330 g  (Pack of 20),330 g,14,5250,2506
20241001 - 20241031,Bangalore,Jaldhara,beverages,energy-soft-drinks,icetea-non-aerated-drink,40187040,Jaldhara instant-watermelon-iced-drink-premix 220 g  (22 g x 10),220 g,30,3570,2770.12
20241101 - 20241130,Hyderabad,Jaldhara,gourmet-world-food,drinks-beverages,gourmet-tea-tea-Mixs,43792419,Jaldhara kewra-sharbat-concentrate-herbal-drink 25 pcs,150 g,19,3971,3596.15
20241101 - 20241130,Bangalore,Jaldhara,gourmet-world-food,drinks-beverages,gourmet-tea-tea-Mixs,46372398,Jaldhara instant-masala-lime-electrolyte-drink-mix 330 g  (Pack of 20),330 g,4,1500,1425
20241101 - 20241130,Bangalore,Jaldhara,gourmet-world-food,drinks-beverages,gourmet-tea-tea-Mixs,47448644,Jaldhara rose-sharbat-concentrate 150 g,150 g,39,7441,5811
20241101 - 20241130,Ahmedabad-Gandhinagar,Jaldhara,gourmet-world-food,drinks-beverages,gourmet-tea-tea-Mixs,43316133,Jaldhara instant-drink-mix-combo 210 g  (14 g x 15),210 g,2,338,317.72
20241101 - 20241130,Gurgaon,Jaldhara,beverages,tea,leaf-dust-tea,40929456,Jaldhara kala-namak-lemonade-instant-drink-mix 225 g,225 g,8,2632,2232
20241101 - 20241130,Mumbai,Jaldhara,gourmet-world-food,drinks-beverages,gourmet-tea-tea-Mixs,48004382,Jaldhara instant-orange-electrolyte-drink-mix 330 g  (16.5 g x 20),330 g,2,378,321.3
20241101 - 20241130,Bangalore Rural,Jaldhara,gourmet-world-food,drinks-beverages,gourmet-tea-tea-Mixs,47448644,Jaldhara rose-sharbat-concentrate 150 g,150 g,1,199,149
20241101 - 20241130,Mumbai,Jaldhara,gourmet-world-food,drinks-beverages,gourmet-tea-tea-Mixs,43635493,Jaldhara drink-mix-nimbu-shikanji-premium-flavoured 90 g,90 g,2,398,398
20241101 - 20241130,Bangalore,Jaldhara,beverages,tea,leaf-dust-tea,40929456,Jaldhara kala-namak-lemonade-instant-drink-mix 225 g,225 g,46,15134,12834
20241101 - 20241130,Mysore,Jaldhara,gourmet-world-food,drinks-beverages,gourmet-tea-tea-Mixs,42980060,Jaldhara kala-namak-nimbu-shikanji-blend 90 g,90 g,1,199,129
20241101 - 20241130,Gurgaon,Jaldhara,gourmet-world-food,drinks-beverages,gourmet-tea-tea-Mixs,48004382,Jaldhara instant-orange-electrolyte-drink-mix 330 g  (16.5 g x 20),330 g,16,3024,2864
20241101 - 20241130,Coimbatore,Jaldhara,gourmet-world-food,drinks-beverages,gourmet-tea-tea-Mixs,47448644,Jaldhara rose-sharbat-concentrate 150 g,150 g,3,477,433.15
20241101 - 20241130,Mumbai,Jaldhara,snacks-branded-foods,chocolates-candies,gift-boxes,47879658,Jaldhara pink-summer-gift-box-set-with-summer-snacks 1 pc  (Set of 5),5 pcs,1,999,899
20241101 - 20241130,Mumbai,Jaldhara,beverages,tea,leaf-dust-tea,40127838,Jaldhara nimbu-shikanji-instant-drink-mix 250 g,225 g,23,6877,6279
20241101 - 20241130,Chennai,Jaldhara,gourmet-world-food,drinks-beverages,gourmet-tea-tea-Mixs,43316133,Jaldhara instant-drink-mix-combo 210 g  (14 g x 15),210 g,8,1200,1137
20241101 - 20241130,Chennai,Jaldhara,gourmet-world-food,drinks-beverages,gourmet-tea-tea-Mixs,42980060,Jaldhara kala-namak-nimbu-shikanji-blend 90 g,90 g,3,597,387
20241101 - 20241130,Hyderabad,Jaldhara,beverages,tea,leaf-dust-tea,45266919,Jaldhara lemon-electrolyte-instant-drink-mix 330 g  (16.5 g x 20),330 g,31,6479,5874.25
20241101 - 20241130,Mumbai,Jaldhara,gourmet-world-food,drinks-beverages,gourmet-tea-tea-Mixs,49244038,Jaldhara instant-drink-mix-nimbu-shikanji-low-sugar 180 g  (15 Sachet x 12 g each),180 g,2,750,712.5
20241101 - 20241130,Ahmedabad-Gandhinagar,Jaldhara,snacks-branded-foods,chocolates-candies,gift-boxes,44368015,Jaldhara summer-fiesta-gift-box-nimbu-shikanji-kala-namak 200 g  (2x100 g),200 g,1,649,599
20241101 - 20241130,Pune,Jaldhara,beverages,tea,leaf-dust-tea,40127838,Jaldhara nimbu-shikanji-instant-drink-mix 250 g,225 g,7,1400,1300
20241101 - 20241130,Mangaluru,Jaldhara,beverages,tea,leaf-dust-tea,40127838,Jaldhara nimbu-shikanji-instant-drink-mix 250 g,225 g,1,299,269.1
20241101 - 20241130,Mysore,Jaldhara,gourmet-world-food,drinks-beverages,gourmet-tea-tea-Mixs,43316133,Jaldhara instant-drink-mix-combo 210 g  (14 g x 15),210 g,1,169,143.65
20241101 - 20241130,Mumbai,Jaldhara,beverages,tea,leaf-dust-tea,45266919,Jaldhara lemon-electrolyte-instant-drink-mix 330 g  (16.5 g x 20),330 g,23,4807,4506.2
20241101 - 20241130,Hyderabad,Jaldhara,gourmet-world-food,drinks-beverages,gourmet-tea-tea-Mixs,47448644,Jaldhara rose-sharbat-concentrate 150 g,150 g,13,2227,1937
20241101 - 20241130,Gurgaon,Jaldhara,beverages,tea,leaf-dust-tea,40127838,Jaldhara nimbu-shikanji-instant-drink-mix 250 g,225 g,25,7475,6757.4
20241101 - 20241130,Pune,Jaldhara,beverages,energy-soft-drinks,icetea-non-aerated-drink,40187040,Jaldhara instant-watermelon-iced-drink-premix 220 g  (22 g x 10),220 g,11,1166,989.82
20241101 - 20241130,Pune,Jaldhara,snacks-branded-foods,chocolates-candies,gift-boxes,47879658,Jaldhara pink-summer-gift-box-set-with-summer-snacks 1 pc  (Set of 5),5 pcs,1,999,899
20241101 - 20241130,Nashik,Jaldhara,beverages,tea,leaf-dust-tea,40929456,Jaldhara kala-namak-lemonade-instant-drink-mix 225 g,225 g,1,329,279
20241101 - 20241130,Gurgaon,Jaldhara,beverages,tea,leaf-dust-tea,45266919,Jaldhara lemon-electrolyte-instant-drink-mix 330 g  (16.5 g x 20),330 g,20,4180,3971.45
20241101 - 20241130,Hyderabad,Jaldhara,gourmet-world-food,drinks-beverages,gourmet-tea-tea-Mixs,49244038,Jaldhara instant-drink-mix-nimbu-shikanji-low-sugar 180 g  (15 Sachet x 12 g each),180 g,0,0,0
20241101 - 20241130,Hyderabad,Jaldhara,gourmet-world-food,drinks-beverages,gourmet-tea-tea-Mixs,43316133,Jaldhara instant-drink-mix-combo 210 g  (14 g x 15),210 g,19,3211,2898.63
20241101 - 20241130,Gurgaon,Jaldhara,beverages,energy-soft-drinks,icetea-non-aerated-drink,40187040,Jaldhara instant-watermelon-iced-drink-premix 220 g  (22 g x 10),220 g,21,2499,2075.32
20241101 - 20241130,Chennai,Jaldhara,beverages,energy-soft-drinks,icetea-non-aerated-drink,40187040,Jaldhara instant-watermelon-iced-drink-premix 220 g  (22 g x 10),220 g,10,1060,890.82
20241101 - 20241130,Pune,Jaldhara,beverages,tea,leaf-dust-tea,45266919,Jaldhara lemon-electrolyte-instant-drink-mix 330 g  (16.5 g x 20),330 g,6,1116,1060.2
20241101 - 20241130,Gurgaon,Jaldhara,snacks-branded-foods,chocolates-candies,gift-boxes,44368015,Jaldhara summer-fiesta-gift-box-nimbu-shikanji-kala-namak 200 g  (2x100 g),200 g,3,1947,1797
20241101 - 20241130,Coimbatore,Jaldhara,gourmet-world-food,drinks-beverages,gourmet-tea-tea-Mixs,42980060,Jaldhara kala-namak-nimbu-shikanji-blend 90 g,90 g,3,597,387
20241101 - 20241130,Noida,Jaldhara,snacks-branded-foods,chocolates-candies,gift-boxes,44368015,Jaldhara summer-fiesta-gift-box-nimbu-shikanji-kala-namak 200 g  (2x100 g),200 g,2,1298,1198
20241101 - 20241130,Bangalore,Jaldhara,gourmet-world-food,drinks-beverages,gourmet-tea-tea-Mixs,43635493,Jaldhara drink-mix-nimbu-shikanji-premium-flavoured 90 g,90 g,14,2606,2606
20241101 - 20241130,Gurgaon,Jaldhara,gourmet-world-food,drinks-beverages,gourmet-tea-tea-Mixs,43316133,Jaldhara instant-drink-mix-combo 210 g  (14 g x 15),210 g,17,2873,2701.18
20241101 - 20241130,Pune,Jaldhara,beverages,tea,leaf-dust-tea,40929456,Jaldhara kala-namak-lemonade-instant-drink-mix 225 g,225 g,16,3040,2768.3
20241101 - 20241130,Hyderabad,Jaldhara,beverages,tea,leaf-dust-tea,40929456,Jaldhara kala-namak-lemonade-instant-drink-mix 225 g,225 g,10,3290,2790
20241101 - 20241130,Raipur,Jaldhara,gourmet-world-food,drinks-beverages,gourmet-tea-tea-Mixs,46372398,Jaldhara instant-masala-lime-electrolyte-drink-mix 330 g  (Pack of 20),330 g,1,375,179
20241101 - 20241130,Gurgaon,Jaldhara,beverages,energy-soft-drinks,icetea-non-aerated-drink,42410255,Jaldhara instant-mango-iced-drink-premix 220 g  (22 g x 10),220 g,26,3094,2569.63
20241101 - 20241130,Bangalore,Jaldhara,beverages,tea,leaf-dust-tea,40127838,Jaldhara nimbu-shikanji-instant-drink-mix 250 g,225 g,76,22724,19734
20241101 - 20241130,Bangalore,Jaldhara,beverages,energy-soft-drinks,icetea-non-aerated-drink,40187040,Jaldhara instant-watermelon-iced-drink-premix 220 g  (22 g x 10),220 g,43,5117,4162.58
20241101 - 20241130,Bangalore,Jaldhara,beverages,energy-soft-drinks,icetea-non-aerated-drink,42410255,Jaldhara instant-mango-iced-drink-premix 220 g  (22 g x 10),220 g,53,6307,5043.68
20241101 - 20241130,Mumbai,Jaldhara,beverages,energy-soft-drinks,icetea-non-aerated-drink,42410255,Jaldhara instant-mango-iced-drink-premix 220 g  (22 g x 10),220 g,33,3927,3242.48
20241101 - 20241130,Ahmedabad-Gandhinagar,Jaldhara,beverages,energy-soft-drinks,icetea-non-aerated-drink,42410255,Jaldhara instant-mango-iced-drink-premix 220 g  (22 g x 10),220 g,3,318,274.96
20241101 - 20241130,Bangalore,Jaldhara,gourmet-world-food,drinks-beverages,gourmet-tea-tea-Mixs,43792419,Jaldhara kewra-sharbat-concentrate-herbal-drink 25 pcs,150 g,14,2926,2456.65
20241101 - 20241130,Chennai,Jaldhara,beverages,tea,leaf-dust-tea,40127838,Jaldhara nimbu-shikanji-instant-drink-mix 250 g,225 g,12,2400,2220
20241101 - 20241130,Mysore,Jaldhara,beverages,tea,leaf-dust-tea,45266919,Jaldhara lemon-electrolyte-instant-drink-mix 330 g  (16.5 g x 20),330 g,1,209,198.55
20241101 - 20241130,Pune,Jaldhara,beverages,energy-soft-drinks,icetea-non-aerated-drink,42410255,Jaldhara instant-mango-iced-drink-premix 220 g  (22 g x 10),220 g,10,1060,879.8
20241101 - 20241130,Vijayawada-Guntur,Jaldhara,gourmet-world-food,drinks-beverages,gourmet-tea-tea-Mixs,47448644,Jaldhara rose-sharbat-concentrate 150 g,150 g,2,318,298
20241101 - 20241130,Bangalore,Jaldhara,snacks-branded-foods,chocolates-candies,gift-boxes,44368015,Jaldhara summer-fiesta-gift-box-nimbu-shikanji-kala-namak 200 g  (2x100 g),200 g,6,3894,3594
20241101 - 20241130,Bangalore,Jaldhara,beverages,tea,leaf-dust-tea,45266919,Jaldhara lemon-electrolyte-instant-drink-mix 330 g  (16.5 g x 20),330 g,64,13376,12313.25
20241101 - 20241130,Mangaluru,Jaldhara,gourmet-world-food,drinks-beverages,gourmet-tea-tea-Mixs,42980060,Jaldhara kala-namak-nimbu-shikanji-blend 90 g,90 g,1,199,129
20241101 - 20241130,Ahmedabad-Gandhinagar,Jaldhara,beverages,tea,leaf-dust-tea,45266919,Jaldhara lemon-electrolyte-instant-drink-mix 330 g  (16.5 g x 20),330 g,2,418,397.1
20241101 - 20241130,Chennai,Jaldhara,gourmet-world-food,drinks-beverages,gourmet-tea-tea-Mixs,48004382,Jaldhara instant-orange-electrolyte-drink-mix 330 g  (16.5 g x 20),330 g,9,1512,1453.2
20241101 - 20241130,Visakhapatnam,Jaldhara,gourmet-world-food,drinks-beverages,gourmet-tea-tea-Mixs,47448644,Jaldhara rose-sharbat-concentrate 150 g,150 g,2,358,298
20241101 - 20241130,Mysore,Jaldhara,gourmet-world-food,drinks-beverages,gourmet-tea-tea-Mixs,47448644,Jaldhara rose-sharbat-concentrate 150 g,150 g,1,159,135.15
20241101 - 20241130,Chennai,Jaldhara,beverages,tea,leaf-dust-tea,40929456,Jaldhara kala-namak-lemonade-instant-drink-mix 225 g,225 g,15,2850,2578.3
20241101 - 20241130,Mumbai,Jaldhara,beverages,energy-soft-drinks,icetea-non-aerated-drink,40187040,Jaldhara instant-watermelon-iced-drink-premix 220 g  (22 g x 10),220 g,35,4165,3418.14
